id,amount,location,time
1,1482.72,CHI,05:55
2,3411.41,TOK,22:32
3,7657.23,LA,20:42
4,2187.92,TX,23:01
5,7240.19,CHI,07:45
6,9250.89,TOK,01:33
7,8514.15,NY,22:14
8,9749.42,TOK,10:49
9,4342.81,LON,12:39
10,1324.34,CHI,11:56
11,6117.67,TX,09:37
12,9036.06,TX,16:08
13,4368.42,PAR,14:57
14,3434.41,NY,12:12
15,5681.83,NY,13:46
16,6650.02,TX,17:17
17,4303.74,LA,22:38
18,3752.61,CHI,19:59
19,5304.67,LA,12:41
20,395.356,LA,22:16
21,9222.88,PAR,13:02
22,3947.36,MUM,19:58
23,6838.5,TX,23:55
24,4773.4,NY,05:10
25,3203.81,PAR,02:42
26,1999.31,MUM,08:57
27,2364.04,PAR,16:04
28,2338.47,LA,12:57
29,4482.35,LA,00:11
30,9315.45,LON,15:37
31,3470.11,TOK,09:41
32,5113.18,LON,20:27
33,1237.46,LA,16:58
34,1464.55,PAR,19:53
35,9286.59,PAR,16:02
36,5284.63,LON,07:57
37,3120.33,TOK,06:46
38,4989.23,PAR,06:01
39,6149.51,LON,08:21
40,9666.24,TX,08:59
41,5548.35,MUM,21:41
42,7632.44,NY,16:05
43,3059.92,NY,01:47
44,7263.88,MUM,08:18
45,6272.09,TOK,21:57
46,7607.02,LA,15:00
47,7181.97,CHI,13:44
48,8215.89,PAR,04:11
49,6481.54,TOK,13:51
50,3968.85,CHI,11:05
51,8488.07,PAR,02:22
52,5993.55,LON,19:02
53,9905.23,CHI,17:36
54,5926.97,TX,14:52
55,8805.89,TOK,02:13
56,2579.39,LA,01:54
57,6144.48,NY,11:21
58,45.8941,LON,19:37
59,6410.48,LA,02:54
60,2671.58,CHI,17:07
61,194.416,PAR,04:22
62,2487.79,MUM,06:16
63,1536.4,TX,23:43
64,7922.14,MUM,15:05
65,1056.24,PAR,01:02
66,7400.25,LA,19:20
67,5341.26,PAR,07:35
68,2130.91,NY,03:35
69,9576.2,CHI,13:38
70,3304.77,MUM,01:57
71,4909.29,TOK,04:47
72,1552.91,TOK,01:58
73,3682.36,CHI,10:51
74,6213.23,LA,17:58
75,1047.83,LA,09:39
76,8307.26,TOK,17:27
77,5684.64,TOK,07:58
78,1548.39,LA,15:29
79,6503.96,CHI,08:08
80,3377,MUM,23:48
81,4695.83,TX,15:46
82,6892.38,NY,03:58
83,3705.7,LON,16:45
84,1286.37,MUM,09:43
85,5130.7,LA,20:38
86,9816.14,CHI,22:10
87,340.637,MUM,00:51
88,2333.29,TX,10:20
89,5272.19,LA,23:45
90,9422.03,LA,10:51
91,4035.12,LON,11:05
92,4853.66,TOK,14:25
93,9061.5,MUM,11:07
94,857.835,LON,15:28
95,9448.93,NY,18:00
96,8065.72,TX,20:03
97,2258.05,TX,20:16
98,7159.85,LON,10:40
99,3514.12,MUM,07:00
100,1383,MUM,08:30
101,4689.91,TOK,15:12
102,4939.13,LA,06:59
103,8201.17,PAR,11:34
104,3243.17,LON,12:05
105,9559.54,LA,16:47
106,5370.61,MUM,21:32
107,9390.08,PAR,05:41
108,4475.33,TX,00:19
109,5728.49,NY,17:50
110,5386.34,NY,12:36
111,5614.12,MUM,00:51
112,3967.17,PAR,23:40
113,8045.5,NY,14:16
114,8851.24,MUM,21:28
115,8334.74,PAR,01:25
116,2053.11,MUM,13:29
117,7006.87,LON,11:57
118,1192.35,CHI,08:02
119,6004.13,CHI,03:04
120,8025.86,TOK,08:01
121,6921.54,TOK,20:23
122,9596.31,NY,14:18
123,9369.06,MUM,10:46
124,8528,LA,04:45
125,4243.08,PAR,17:12
126,8681.59,LA,01:25
127,6453.35,LA,12:17
128,4670.43,TOK,20:38
129,9818.55,NY,23:15
130,3188.09,NY,23:43
131,7223.48,NY,18:38
132,4826.49,NY,09:01
133,4872.82,MUM,09:09
134,9214.35,CHI,15:08
135,9282.76,CHI,21:48
136,8430.54,TOK,20:19
137,9135.05,PAR,04:22
138,3766.03,TX,08:25
139,1439.39,MUM,05:02
140,7760.5,LA,13:37
141,1887.44,MUM,17:18
142,2141.37,PAR,17:30
143,9497.23,MUM,03:56
144,3415.38,LON,15:23
145,4968.1,TX,06:31
146,8227.8,LA,18:28
147,2982.14,CHI,12:49
148,8788.4,MUM,15:13
149,1948.11,NY,09:00
150,9865.94,NY,18:24
151,185.43,TOK,07:27
152,8341.56,TX,08:41
153,4643.01,NY,23:51
154,8372.46,TOK,16:04
