ID=3 | Amount=7657.23 | Location=LA | Time=20:42
ID=5 | Amount=7240.19 | Location=CHI | Time=07:45
ID=6 | Amount=9250.89 | Location=TOK | Time=01:33
ID=7 | Amount=8514.15 | Location=NY | Time=22:14
ID=8 | Amount=9749.42 | Location=TOK | Time=10:49
ID=11 | Amount=6117.67 | Location=TX | Time=09:37
ID=12 | Amount=9036.06 | Location=TX | Time=16:08
ID=15 | Amount=5681.83 | Location=NY | Time=13:46
ID=16 | Amount=6650.02 | Location=TX | Time=17:17
ID=19 | Amount=5304.67 | Location=LA | Time=12:41
ID=21 | Amount=9222.88 | Location=PAR | Time=13:02
ID=23 | Amount=6838.5 | Location=TX | Time=23:55
ID=30 | Amount=9315.45 | Location=LON | Time=15:37
ID=32 | Amount=5113.18 | Location=LON | Time=20:27
ID=35 | Amount=9286.59 | Location=PAR | Time=16:02
ID=36 | Amount=5284.63 | Location=LON | Time=07:57
ID=39 | Amount=6149.51 | Location=LON | Time=08:21
ID=40 | Amount=9666.24 | Location=TX | Time=08:59
ID=41 | Amount=5548.35 | Location=MUM | Time=21:41
ID=42 | Amount=7632.44 | Location=NY | Time=16:05
ID=44 | Amount=7263.88 | Location=MUM | Time=08:18
ID=45 | Amount=6272.09 | Location=TOK | Time=21:57
ID=46 | Amount=7607.02 | Location=LA | Time=15:00
ID=47 | Amount=7181.97 | Location=CHI | Time=13:44
ID=48 | Amount=8215.89 | Location=PAR | Time=04:11
ID=49 | Amount=6481.54 | Location=TOK | Time=13:51
ID=51 | Amount=8488.07 | Location=PAR | Time=02:22
ID=52 | Amount=5993.55 | Location=LON | Time=19:02
ID=53 | Amount=9905.23 | Location=CHI | Time=17:36
ID=54 | Amount=5926.97 | Location=TX | Time=14:52
ID=55 | Amount=8805.89 | Location=TOK | Time=02:13
ID=57 | Amount=6144.48 | Location=NY | Time=11:21
ID=59 | Amount=6410.48 | Location=LA | Time=02:54
ID=64 | Amount=7922.14 | Location=MUM | Time=15:05
ID=66 | Amount=7400.25 | Location=LA | Time=19:20
ID=67 | Amount=5341.26 | Location=PAR | Time=07:35
ID=69 | Amount=9576.2 | Location=CHI | Time=13:38
ID=74 | Amount=6213.23 | Location=LA | Time=17:58
ID=76 | Amount=8307.26 | Location=TOK | Time=17:27
ID=77 | Amount=5684.64 | Location=TOK | Time=07:58
ID=79 | Amount=6503.96 | Location=CHI | Time=08:08
ID=82 | Amount=6892.38 | Location=NY | Time=03:58
ID=85 | Amount=5130.7 | Location=LA | Time=20:38
ID=86 | Amount=9816.14 | Location=CHI | Time=22:10
ID=89 | Amount=5272.19 | Location=LA | Time=23:45
ID=90 | Amount=9422.03 | Location=LA | Time=10:51
ID=93 | Amount=9061.5 | Location=MUM | Time=11:07
ID=95 | Amount=9448.93 | Location=NY | Time=18:00
ID=96 | Amount=8065.72 | Location=TX | Time=20:03
ID=98 | Amount=7159.85 | Location=LON | Time=10:40
ID=103 | Amount=8201.17 | Location=PAR | Time=11:34
ID=105 | Amount=9559.54 | Location=LA | Time=16:47
ID=106 | Amount=5370.61 | Location=MUM | Time=21:32
ID=107 | Amount=9390.08 | Location=PAR | Time=05:41
ID=109 | Amount=5728.49 | Location=NY | Time=17:50
ID=110 | Amount=5386.34 | Location=NY | Time=12:36
ID=111 | Amount=5614.12 | Location=MUM | Time=00:51
ID=113 | Amount=8045.5 | Location=NY | Time=14:16
ID=114 | Amount=8851.24 | Location=MUM | Time=21:28
ID=115 | Amount=8334.74 | Location=PAR | Time=01:25
ID=117 | Amount=7006.87 | Location=LON | Time=11:57
ID=119 | Amount=6004.13 | Location=CHI | Time=03:04
ID=120 | Amount=8025.86 | Location=TOK | Time=08:01
ID=121 | Amount=6921.54 | Location=TOK | Time=20:23
ID=122 | Amount=9596.31 | Location=NY | Time=14:18
ID=123 | Amount=9369.06 | Location=MUM | Time=10:46
ID=124 | Amount=8528 | Location=LA | Time=04:45
ID=126 | Amount=8681.59 | Location=LA | Time=01:25
ID=127 | Amount=6453.35 | Location=LA | Time=12:17
ID=129 | Amount=9818.55 | Location=NY | Time=23:15
ID=131 | Amount=7223.48 | Location=NY | Time=18:38
ID=134 | Amount=9214.35 | Location=CHI | Time=15:08
ID=135 | Amount=9282.76 | Location=CHI | Time=21:48
ID=136 | Amount=8430.54 | Location=TOK | Time=20:19
ID=137 | Amount=9135.05 | Location=PAR | Time=04:22
ID=140 | Amount=7760.5 | Location=LA | Time=13:37
ID=143 | Amount=9497.23 | Location=MUM | Time=03:56
ID=146 | Amount=8227.8 | Location=LA | Time=18:28
ID=148 | Amount=8788.4 | Location=MUM | Time=15:13
ID=150 | Amount=9865.94 | Location=NY | Time=18:24
ID=152 | Amount=8341.56 | Location=TX | Time=08:41
ID=154 | Amount=8372.46 | Location=TOK | Time=16:04
ID=156 | Amount=9118.06 | Location=LA | Time=14:49
ID=158 | Amount=7186.35 | Location=NY | Time=22:11
ID=161 | Amount=6627.47 | Location=TX | Time=03:14
ID=162 | Amount=6728.37 | Location=PAR | Time=23:21
ID=164 | Amount=5881.92 | Location=TX | Time=05:31
ID=165 | Amount=6120.22 | Location=TX | Time=12:07
ID=166 | Amount=5705.2 | Location=TOK | Time=14:37
ID=167 | Amount=5355.87 | Location=PAR | Time=19:19
ID=168 | Amount=8777.62 | Location=TOK | Time=15:02
ID=170 | Amount=9761.91 | Location=TX | Time=22:28
ID=172 | Amount=6996.33 | Location=LON | Time=03:32
ID=177 | Amount=5853.92 | Location=NY | Time=22:23
ID=181 | Amount=5457.37 | Location=LON | Time=02:48
ID=182 | Amount=7593.61 | Location=CHI | Time=22:59
ID=184 | Amount=9934.39 | Location=TX | Time=02:57
ID=186 | Amount=8718.29 | Location=TOK | Time=10:38
ID=188 | Amount=6414.06 | Location=MUM | Time=06:32
ID=189 | Amount=8910.42 | Location=TX | Time=19:57
ID=190 | Amount=5810.98 | Location=MUM | Time=03:44
ID=191 | Amount=7252.77 | Location=CHI | Time=06:27
ID=194 | Amount=8675.28 | Location=TOK | Time=12:35
ID=196 | Amount=7697.09 | Location=NY | Time=09:44
ID=198 | Amount=7121.19 | Location=NY | Time=21:32
ID=199 | Amount=9527.68 | Location=MUM | Time=11:39
ID=201 | Amount=5794.98 | Location=PAR | Time=13:40
ID=202 | Amount=7506.86 | Location=PAR | Time=19:32
ID=203 | Amount=6572.84 | Location=LA | Time=19:00
ID=206 | Amount=9429.17 | Location=MUM | Time=14:54
ID=207 | Amount=8401.55 | Location=CHI | Time=04:16
ID=208 | Amount=9080.78 | Location=TX | Time=18:14
ID=210 | Amount=6221.45 | Location=TX | Time=14:52
ID=211 | Amount=5043.9 | Location=LA | Time=19:13
ID=213 | Amount=8942.52 | Location=LON | Time=04:29
ID=214 | Amount=7922.11 | Location=MUM | Time=23:37
ID=215 | Amount=6443 | Location=LA | Time=06:44
ID=220 | Amount=9783.83 | Location=LON | Time=17:24
ID=221 | Amount=7822.26 | Location=TOK | Time=20:45
ID=222 | Amount=8145.32 | Location=LA | Time=08:55
ID=223 | Amount=9095.08 | Location=LON | Time=19:05
ID=225 | Amount=8160.29 | Location=LA | Time=11:24
ID=226 | Amount=8564.86 | Location=MUM | Time=13:44
